Freq.	-V(out)/I(Vtest)
3.97236998174820e+01	1.01964400597355e+02,-3.99844795981184e+02
4.00000000000006e+01	1.01942367895983e+02,-3.97082955217477e+02
4.02782220022694e+01	1.01920638515452e+02,-3.94340190088986e+02
4.05583791916018e+01	1.01899208280113e+02,-3.91616368867829e+02
4.08404850282884e+01	1.01878073071791e+02,-3.88911360735276e+02
4.11245530662433e+01	1.01857228829007e+02,-3.86225035775477e+02
4.14105969536557e+01	1.01836671546183e+02,-3.83557264969249e+02
4.16986304336455e+01	1.01816397272887e+02,-3.80907920187890e+02
4.19886673449233e+01	1.01796402113061e+02,-3.78276874187045e+02
4.22807216224559e+01	1.01776682224287e+02,-3.75664000600615e+02
4.25748072981351e+01	1.01757233817032e+02,-3.73069173934702e+02
4.28709385014524e+01	1.01738053153937e+02,-3.70492269561597e+02
4.31691294601778e+01	1.01719136549083e+02,-3.67933163713811e+02
4.34693945010430e+01	1.01700480367294e+02,-3.65391733478150e+02
4.37717480504303e+01	1.01682081023436e+02,-3.62867856789821e+02
4.40762046350651e+01	1.01663934981725e+02,-3.60361412426589e+02
4.43827788827145e+01	1.01646038755053e+02,-3.57872280002967e+02
4.46914855228895e+01	1.01628388904314e+02,-3.55400339964452e+02
4.50023393875531e+01	1.01610982037740e+02,-3.52945473581790e+02
4.53153554118327e+01	1.01593814810258e+02,-3.50507562945295e+02
4.56305486347377e+01	1.01576883922845e+02,-3.48086490959194e+02
4.59479341998822e+01	1.01560186121887e+02,-3.45682141336020e+02
4.62675273562123e+01	1.01543718198561e+02,-3.43294398591036e+02
4.65893434587390e+01	1.01527476988217e+02,-3.40923148036705e+02
4.69133979692759e+01	1.01511459369770e+02,-3.38568275777189e+02
4.72397064571820e+01	1.01495662265098e+02,-3.36229668702895e+02
4.75682846001096e+01	1.01480082638454e+02,-3.33907214485051e+02
4.78991481847580e+01	1.01464717495884e+02,-3.31600801570327e+02
4.82323131076312e+01	1.01449563884640e+02,-3.29310319175482e+02
4.85677953758027e+01	1.01434618892630e+02,-3.27035657282059e+02
4.89056111076836e+01	1.01419879647848e+02,-3.24776706631110e+02
4.92457765337975e+01	1.01405343317823e+02,-3.22533358717960e+02
4.95883079975603e+01	1.01391007109078e+02,-3.20305505787001e+02
4.99332219560653e+01	1.01376868266588e+02,-3.18093040826535e+02
5.02805349808740e+01	1.01362924073255e+02,-3.15895857563636e+02
5.06302637588121e+01	1.01349171849391e+02,-3.13713850459060e+02
5.09824250927714e+01	1.01335608952187e+02,-3.11546914702184e+02
5.13370359025171e+01	1.01322232775225e+02,-3.09394946205981e+02
5.16941132255006e+01	1.01309040747962e+02,-3.07257841602029e+02
5.20536742176783e+01	1.01296030335240e+02,-3.05135498235558e+02
5.24157361543355e+01	1.01283199036805e+02,-3.03027814160524e+02
5.27803164309167e+01	1.01270544386819e+02,-3.00934688134724e+02
5.31474325638614e+01	1.01258063953392e+02,-2.98856019614938e+02
5.35171021914455e+01	1.01245755338110e+02,-2.96791708752112e+02
5.38893430746286e+01	1.01233616175577e+02,-2.94741656386568e+02
5.42641730979079e+01	1.01221644132960e+02,-2.92705764043249e+02
5.46416102701768e+01	1.01209836909538e+02,-2.90683933926997e+02
5.50216727255908e+01	1.01198192236264e+02,-2.88676068917863e+02
5.54043787244380e+01	1.01186707875331e+02,-2.86682072566448e+02
5.57897466540173e+01	1.01175381619733e+02,-2.84701849089281e+02
5.61777950295209e+01	1.01164211292850e+02,-2.82735303364222e+02
5.65685424949249e+01	1.01153194748021e+02,-2.80782340925902e+02
5.69620078238839e+01	1.01142329868145e+02,-2.78842867961189e+02
5.73582099206342e+01	1.01131614565256e+02,-2.76916791304693e+02
5.77571678209009e+01	1.01121046780143e+02,-2.75004018434294e+02
5.81589006928135e+01	1.01110624481931e+02,-2.73104457466707e+02
5.85634278378261e+01	1.01100345667712e+02,-2.71218017153070e+02
5.89707686916452e+01	1.01090208362147e+02,-2.69344606874574e+02
5.93809428251631e+01	1.01080210617088e+02,-2.67484136638108e+02
5.97939699453987e+01	1.01070350511214e+02,-2.65636517071949e+02
6.02098698964438e+01	1.01060626149645e+02,-2.63801659421472e+02
6.06286626604171e+01	1.01051035663590e+02,-2.61979475544891e+02
6.10503683584235e+01	1.01041577209986e+02,-2.60169877909033e+02
6.14750072515217e+01	1.01032248971142e+02,-2.58372779585138e+02
6.19025997416968e+01	1.01023049154388e+02,-2.56588094244687e+02
6.23331663728412e+01	1.01013975991735e+02,-2.54815736155262e+02
6.27667278317413e+01	1.01005027739534e+02,-2.53055620176433e+02
6.32033049490714e+01	1.00996202678134e+02,-2.51307661755674e+02
6.36429187003948e+01	1.00987499111566e+02,-2.49571776924302e+02
6.40855902071710e+01	1.00978915367204e+02,-2.47847882293454e+02
6.45313407377714e+01	1.00970449795444e+02,-2.46135895050082e+02
6.49801917085001e+01	1.00962100769402e+02,-2.44435732952980e+02
6.54321646846238e+01	1.00953866684581e+02,-2.42747314328839e+02
6.58872813814072e+01	1.00945745958575e+02,-2.41070558068330e+02
6.63455636651567e+01	1.00937737030766e+02,-2.39405383622206e+02
6.68070335542709e+01	1.00929838362016e+02,-2.37751710997444e+02
6.72717132202985e+01	1.00922048434376e+02,-2.36109460753400e+02
6.77396249890036e+01	1.00914365750796e+02,-2.34478553998004e+02
6.82107913414379e+01	1.00906788834833e+02,-2.32858912383967e+02
6.86852349150217e+01	1.00899316230373e+02,-2.31250458105026e+02
6.91629785046307e+01	1.00891946501342e+02,-2.29653113892208e+02
6.96440450636914e+01	1.00884678231443e+02,-2.28066803010123e+02
7.01284577052843e+01	1.00877510023870e+02,-2.26491449253282e+02
7.06162397032539e+01	1.00870440501049e+02,-2.24926976942438e+02
7.11074144933271e+01	1.00863468304374e+02,-2.23373310920954e+02
7.16020056742393e+01	1.00856592093933e+02,-2.21830376551199e+02
7.21000370088680e+01	1.00849810548271e+02,-2.20298099710963e+02
7.26015324253744e+01	1.00843122364116e+02,-2.18776406789899e+02
7.31065160183536e+01	1.00836526256145e+02,-2.17265224685995e+02
7.36150120499916e+01	1.00830020956722e+02,-2.15764480802058e+02
7.41270449512313e+01	1.00823605215670e+02,-2.14274103042237e+02
7.46426393229462e+01	1.00817277800016e+02,-2.12794019808556e+02
7.51618199371226e+01	1.00811037493763e+02,-2.11324159997485e+02
7.56846117380493e+01	1.00804883097658e+02,-2.09864452996518e+02
7.62110398435167e+01	1.00798813428951e+02,-2.08414828680792e+02
