Freq.	V(out)
2.20381023175324e+01	6.57227841750679e-03,-6.68943806114705e-05
2.21913894413571e+01	6.57227199451067e-03,-6.70251342535226e-05
2.23457427614446e+01	6.57226555225047e-03,-6.71591069393458e-05
2.25011696937764e+01	6.57225908948837e-03,-6.72963051011138e-05
2.26576777059162e+01	6.57225260498284e-03,-6.74367353254467e-05
2.28152743173687e+01	6.57224609748791e-03,-6.75804043537199e-05
2.29739670999409e+01	6.57223956575313e-03,-6.77273190823873e-05
2.31337636781060e+01	6.57223300852396e-03,-6.78774865633168e-05
2.32946717293693e+01	6.57222642454003e-03,-6.80309140041103e-05
2.34566989846378e+01	6.57221981253686e-03,-6.81876087684679e-05
2.36198532285908e+01	6.57221317124380e-03,-6.83475783765187e-05
2.37841423000546e+01	6.57220649938496e-03,-6.85108305051906e-05
2.39495740923788e+01	6.57219979567846e-03,-6.86773729885715e-05
2.41161565538154e+01	6.57219305883620e-03,-6.88472138182797e-05
2.42838976879012e+01	6.57218628756406e-03,-6.90203611438499e-05
2.44528055538416e+01	6.57217948056079e-03,-6.91968232731101e-05
2.46228882668986e+01	6.57217263651891e-03,-6.93766086725888e-05
2.47941539987800e+01	6.57216575412333e-03,-6.95597259679041e-05
2.49666109780325e+01	6.57215883205170e-03,-6.97461839441798e-05
2.51402674904368e+01	6.57215186897423e-03,-6.99359915464622e-05
2.53151318794059e+01	6.57214486355311e-03,-7.01291578801411e-05
2.54912125463855e+01	6.57213781444232e-03,-7.03256922113818e-05
2.56685179512583e+01	6.57213072028779e-03,-7.05256039675683e-05
2.58470566127501e+01	6.57212357972630e-03,-7.07289027377408e-05
2.60268371088389e+01	6.57211639138606e-03,-7.09355982730582e-05
2.62078680771675e+01	6.57210915388610e-03,-7.11457004872566e-05
2.63901582154582e+01	6.57210186583586e-03,-7.13592194571161e-05
2.65737162819305e+01	6.57209452583513e-03,-7.15761654229393e-05
2.67585510957225e+01	6.57208713247379e-03,-7.17965487890364e-05
2.69446715373141e+01	6.57207968433126e-03,-7.20203801242127e-05
2.71320865489537e+01	6.57207217997691e-03,-7.22476701622761e-05
2.73208051350882e+01	6.57206461796884e-03,-7.24784298025340e-05
2.75108363627952e+01	6.57205699685441e-03,-7.27126701103152e-05
