Freq.	-V(in)/I(Vsource)	V(out)
2.09943336724615e+01	3.33292147666567e+06,-6.00964637898933e+03	9.90870652877115e-01,7.65434175879860e-03
2.11403608112278e+01	3.33292134168757e+06,-6.04677292923963e+03	9.90871451215582e-01,7.60147492402138e-03
2.12874036490674e+01	3.33292120483224e+06,-6.08418999245207e+03	9.90872238564403e-01,7.54897314053991e-03
2.14354692507260e+01	3.33292106607336e+06,-6.12189936781576e+03	9.90873015074759e-01,7.49683388928132e-03
2.15845647300887e+01	3.33292092538430e+06,-6.15990285933424e+03	9.90873780895872e-01,7.44505466852168e-03
2.17346972505213e+01	3.33292078273797e+06,-6.19820230232145e+03	9.90874536174894e-01,7.39363299376632e-03
2.18858740252150e+01	3.33292063810699e+06,-6.23679953449686e+03	9.90875281056887e-01,7.34256639763115e-03
2.20381023175324e+01	3.33292049146353e+06,-6.27569641284655e+03	9.90876015685002e-01,7.29185242972722e-03
2.21913894413571e+01	3.33292034277945e+06,-6.31489479917073e+03	9.90876740200329e-01,7.24148865654244e-03
2.23457427614446e+01	3.33292019202614e+06,-6.35439658417100e+03	9.90877454742137e-01,7.19147266132787e-03
2.25011696937764e+01	3.33292003917465e+06,-6.39420365854547e+03	9.90878159447633e-01,7.14180204398092e-03
2.26576777059162e+01	3.33291988419559e+06,-6.43431794189353e+03	9.90878854452254e-01,7.09247442093319e-03
2.28152743173687e+01	3.33291972705921e+06,-6.47474135140217e+03	9.90879539889508e-01,7.04348742503582e-03
2.29739670999409e+01	3.33291956773527e+06,-6.51547584038568e+03	9.90880215891092e-01,6.99483870544772e-03
2.31337636781060e+01	3.33291940619317e+06,-6.55652335733709e+03	9.90880882586906e-01,6.94652592752367e-03
2.32946717293693e+01	3.33291924240186e+06,-6.59788587965036e+03	9.90881540105000e-01,6.89854677270285e-03
2.34566989846378e+01	3.33291907632988e+06,-6.63956538712422e+03	9.90882188571730e-01,6.85089893839942e-03
2.36198532285908e+01	3.33291890794528e+06,-6.68156389327563e+03	9.90882828111720e-01,6.80358013789267e-03
2.37841423000546e+01	3.33291873721574e+06,-6.72388340439122e+03	9.90883458847790e-01,6.75658810021755e-03
2.39495740923788e+01	3.33291856410840e+06,-6.76652596288440e+03	9.90884080901124e-01,6.70992057005749e-03
2.41161565538154e+01	3.33291838859008e+06,-6.80949360152935e+03	9.90884694391268e-01,6.66357530763725e-03
2.42838976879012e+01	3.33291821062693e+06,-6.85278841090540e+03	9.90885299436099e-01,6.61755008861565e-03
2.44528055538416e+01	3.33291803018484e+06,-6.89641244786520e+03	9.90885896151850e-01,6.57184270397993e-03
2.46228882668986e+01	3.33291784722908e+06,-6.94036781984011e+03	9.90886484653162e-01,6.52645095994066e-03
2.47941539987800e+01	3.33291766172452e+06,-6.98465663425687e+03	9.90887065053131e-01,6.48137267782762e-03
2.49666109780325e+01	3.33291747363551e+06,-7.02928101780726e+03	9.90887637463261e-01,6.43660569398552e-03
